step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,8.109514975722727,0,0.0,0.7359252774067433,0,0.0
10.0,0,0.0,0.0,12.365956957032598,0,0.0,0.9774089705348086,0,0.0
15.0,0,0.0,0.0,10.94477723268152,0,0.0,0.8268060404614171,0,0.0
20.0,1,3.0,0.23076923076923078,11.690587921414638,1,3.0,0.8376758298207343,1,3.0
25.0,0,0.0,0.0,10.420120296596428,0,0.0,0.7445417510278155,0,0.0
30.0,3,8.0,0.42105263157894735,10.425415755754454,3,8.0,0.728244561377245,3,8.0
35.0,1,1.0,0.047619047619047616,8.306023375460201,1,6.0,0.5469803208137082,1,6.0
40.0,4,16.0,0.6956521739130435,8.542719260640949,4,16.0,0.5227348786277869,4,16.0
45.0,1,1.0,0.04,9.219059557674349,1,1.0,0.5851528793832153,1,1.0
50.0,5,20.0,0.7692307692307693,9.657937333182188,5,20.0,0.48007158442912523,5,20.0
55.0,2,10.0,0.3333333333333333,9.65891192348971,2,19.0,0.5990961864259052,2,19.0
60.0,2,6.0,0.2,9.827738603004276,2,26.0,0.5719457592649527,2,26.0
65.0,3,8.0,0.26666666666666666,10.01478336057784,3,29.0,0.4889172136438535,3,29.0
70.0,6,35.0,1.09375,10.250892895664991,6,56.0,0.515465386259569,6,56.0
75.0,2,12.0,0.41379310344827586,9.871848590896786,2,32.0,0.5745715746821242,2,32.0
80.0,2,12.0,0.4,10.696505661803863,2,24.0,0.6188688293947571,2,24.0
85.0,0,0.0,0.0,10.441446539862778,0,12.0,0.7379582697197488,0,12.0
90.0,5,12.0,0.42857142857142855,9.721707017804974,5,24.0,0.5537756191333093,5,24.0
95.0,3,9.0,0.3103448275862069,10.135539264942057,3,18.0,0.6145405685956331,3,18.0
100.0,2,7.0,0.22580645161290322,9.985097707174544,2,26.0,0.5794479869138917,2,26.0
105.0,4,14.0,0.45161290322580644,8.711593127493739,4,34.0,0.45971189015299363,4,34.0
110.0,8,48.0,1.6,9.003691957985886,8,68.0,0.45039809043232826,8,68.0
115.0,10,94.0,2.8484848484848486,8.55704075968847,10,114.0,0.43372592591646486,10,114.0
120.0,12,149.0,4.65625,7.610133800984227,12,169.0,0.3916538841004167,12,169.0
125.0,13,213.0,6.454545454545454,6.853060681389872,13,233.0,0.3583128828708487,13,233.0
130.0,16,288.0,8.228571428571428,6.599751297666383,16,308.0,0.37481061882856254,16,308.0
135.0,18,372.0,10.941176470588236,5.606942957528115,18,392.0,0.34524747049508836,18,392.0
140.0,7,138.0,3.8333333333333335,6.452277293056953,7,288.0,0.43307309299662716,7,288.0
145.0,6,18.0,0.46153846153846156,7.971659608280182,4,234.0,0.45046453872541964,4,234.0
150.0,8,33.0,0.8048780487804879,8.638534234870775,8,181.0,0.4282098828649842,8,181.0
155.0,6,48.0,1.0909090909090908,8.93794529847897,6,99.0,0.3676879734547341,6,99.0
160.0,10,91.0,1.9361702127659575,9.437677605261689,10,93.0,0.3818356880854704,10,93.0
165.0,5,19.0,0.4318181818181818,8.998165028729328,5,64.0,0.413353294430031,5,64.0
170.0,5,23.0,0.5609756097560976,9.552175573280936,5,61.0,0.4814987297207852,5,61.0
175.0,4,8.0,0.2,9.922807921424678,4,47.0,0.6116702579217371,4,47.0
180.0,8,37.0,0.9487179487179487,9.78741181486449,6,70.0,0.49847260025635576,6,70.0
185.0,3,9.0,0.23684210526315788,9.51736192189598,3,32.0,0.5588073452787202,3,32.0
190.0,9,28.0,0.7567567567567568,9.833289523857443,8,54.0,0.5114558158757166,8,54.0
195.0,2,3.0,0.08333333333333333,9.066431092061421,2,47.0,0.4701051620407555,2,47.0
200.0,7,24.0,0.7058823529411765,9.02190385979245,7,70.0,0.37513904467598336,7,70.0
205.0,5,26.0,0.7428571428571429,9.415338538357625,5,59.0,0.4752618133581407,5,59.0
210.0,5,21.0,0.6176470588235294,9.156828201607155,5,77.0,0.380101775039046,5,77.0
215.0,2,7.0,0.2,9.168915283473112,2,64.0,0.4692194887250908,2,64.0
220.0,7,31.0,0.9393939393939394,8.78396923284071,6,85.0,0.42926116281024923,6,85.0
225.0,6,32.0,0.9411764705882353,9.209092069040883,6,81.0,0.48197307932142563,6,81.0
230.0,6,26.0,0.8387096774193549,8.774180993313953,6,107.0,0.45514362211352627,6,107.0
235.0,4,14.0,0.42424242424242425,8.202903599850975,4,92.0,0.4133286702195811,4,92.0
240.0,9,41.0,1.2058823529411764,8.18392320047656,8,104.0,0.31754232187761383,8,104.0
245.0,4,27.0,0.8181818181818182,8.450776865870232,4,87.0,0.4190731568236612,4,87.0
250.0,5,22.0,0.6666666666666666,9.40198098514167,5,112.0,0.4643238521664027,5,112.0
255.0,3,14.0,0.42424242424242425,9.431197952775547,3,112.0,0.5472633152105424,3,112.0
260.0,7,31.0,0.9393939393939394,8.57135848224081,6,135.0,0.47260172770618847,6,135.0
265.0,5,26.0,0.7878787878787878,7.946820987689188,5,119.0,0.40569184692183285,5,119.0
270.0,7,34.0,1.0,9.03676441278903,6,144.0,0.48244800429332435,6,144.0
275.0,2,3.0,0.08571428571428572,9.357355524375475,2,126.0,0.5304104250817497,2,126.0
280.0,6,17.0,0.4594594594594595,9.208743165410493,6,114.0,0.4644158146936702,6,114.0
285.0,9,58.0,1.6571428571428573,9.466236714675066,9,155.0,0.4322975016891768,9,155.0
290.0,5,39.0,1.1470588235294117,8.619649557906225,5,120.0,0.45657674328303577,5,120.0
295.0,0,0.0,0.0,10.09003224034293,0,36.0,0.6059178342750859,0,36.0
300.0,4,8.0,0.22857142857142856,9.00071803256239,4,44.0,0.4079701981860351,4,44.0
305.0,8,44.0,1.2571428571428571,8.99082550523082,8,80.0,0.4507621390217085,8,80.0
310.0,4,21.0,0.5833333333333334,9.506742157021444,4,58.0,0.5497003279374126,4,58.0
315.0,6,24.0,0.6857142857142857,9.091448929635968,5,19.0,0.44834230366564665,5,19.0
320.0,2,4.0,0.12121212121212122,9.40522329652389,2,11.0,0.5319958591606068,2,11.0
325.0,3,16.0,0.47058823529411764,10.055856771346159,3,19.0,0.5619580982534628,3,19.0
330.0,1,4.0,0.11428571428571428,10.036515514171747,1,14.0,0.5782425008106182,1,14.0
335.0,4,18.0,0.5294117647058824,10.013863970744662,2,18.0,0.5494098346518969,2,18.0
340.0,1,3.0,0.08823529411764706,9.651361450980353,1,17.0,0.5089205721243935,1,17.0
345.0,5,19.0,0.6333333333333333,10.416714508439133,4,29.0,0.5617243285340091,4,29.0
350.0,0,0.0,0.0,10.116865773952915,0,0.0,0.5687054143997401,0,0.0
355.0,2,7.0,0.25,10.635955773725902,1,2.0,0.6302526038214815,1,2.0
360.0,2,8.0,0.27586206896551724,10.282668018532148,2,14.0,0.5218982162850128,2,14.0
365.0,5,15.0,0.5172413793103449,10.117805304404538,5,30.0,0.4832431015120945,5,30.0
370.0,1,6.0,0.20689655172413793,9.709288850260316,1,22.0,0.6252475534439127,1,22.0
375.0,3,9.0,0.3333333333333333,9.80035498152453,2,27.0,0.5806091372416394,2,27.0
380.0,1,1.0,0.038461538461538464,10.021899322902131,1,32.0,0.6208359821183577,1,32.0
385.0,4,17.0,0.6071428571428571,11.079078415438863,4,47.0,0.642186111166896,4,47.0
390.0,0,0.0,0.0,11.119570664280007,0,22.0,0.7933738600625105,0,22.0
395.0,3,11.0,0.39285714285714285,10.502790598822795,2,29.0,0.6555045385220137,2,29.0
400.0,2,4.0,0.13793103448275862,10.324001585758399,2,33.0,0.5807893352836032,2,33.0
405.0,5,17.0,0.5666666666666667,9.389781686523186,5,48.0,0.45282037190011426,5,48.0
410.0,1,1.0,0.03571428571428571,9.629172993455388,1,19.0,0.5381153241359006,1,19.0
415.0,5,16.0,0.5333333333333333,9.254845010353526,4,21.0,0.4578370996084293,4,21.0
420.0,3,8.0,0.26666666666666666,10.801627518811406,3,20.0,0.6805780719985073,3,20.0
425.0,3,23.0,0.7666666666666667,10.280636868082633,3,30.0,0.5719665768028103,3,30.0
430.0,5,44.0,1.4666666666666666,10.159554756897096,5,51.0,0.5664208679891766,5,51.0
435.0,7,77.0,2.566666666666667,9.550699805626435,7,84.0,0.5612318208159455,7,84.0
440.0,1,2.0,0.06896551724137931,9.404033814052864,1,18.0,0.7155800945763231,1,18.0
445.0,3,8.0,0.25806451612903225,9.58961001352857,2,14.0,0.6213843192582506,2,14.0
450.0,4,10.0,0.3333333333333333,9.551211651376386,4,27.0,0.5687916350146872,4,27.0
455.0,5,31.0,1.0,9.54879156253056,5,47.0,0.561642137255302,5,47.0
460.0,2,4.0,0.11764705882352941,9.780859821624066,2,18.0,0.5994634998666175,2,18.0
465.0,2,10.0,0.30303030303030304,9.801773099858611,2,14.0,0.5986594561965125,2,14.0
470.0,2,4.0,0.11764705882352941,9.844022573688582,2,8.0,0.5743614880210364,2,8.0
475.0,6,28.0,0.8,9.422882454704004,6,32.0,0.4842221984470725,6,32.0
480.0,1,8.0,0.25,9.035416272630412,1,22.0,0.5195421579763871,1,22.0
485.0,4,11.0,0.3548387096774194,9.522935761074944,3,25.0,0.542295492729479,3,25.0
490.0,3,4.0,0.12121212121212122,10.056684129745996,3,25.0,0.5638122335289458,3,25.0
495.0,6,29.0,0.9354838709677419,9.554558139546362,6,49.0,0.4460060204695491,6,49.0
500.0,2,10.0,0.30303030303030304,9.787403788751607,2,36.0,0.5807708307912466,2,36.0
505.0,2,8.0,0.25,10.573855310461987,2,40.0,0.6815639307618786,2,40.0
510.0,3,19.0,0.6333333333333333,10.430150741706994,3,19.0,0.6600439691671364,3,19.0
515.0,7,48.0,1.6551724137931034,8.604964287166567,6,43.0,0.40652303254478006,6,43.0
520.0,10,86.0,2.6875,8.154971603145347,10,86.0,0.40167808610063005,10,86.0
525.0,2,11.0,0.34375,8.318278906864162,2,35.0,0.4566467153144159,2,35.0
530.0,4,12.0,0.375,9.149270063071784,3,31.0,0.5187897157337809,3,31.0
535.0,5,32.0,1.032258064516129,9.617124476341587,4,24.0,0.47806405331827734,4,24.0
540.0,5,43.0,1.303030303030303,10.03618490954014,5,43.0,0.5342629569816063,5,43.0
545.0,9,76.0,2.303030303030303,9.055386975041557,9,76.0,0.41341120749043264,9,76.0
550.0,4,16.0,0.48484848484848486,8.216226742050837,4,54.0,0.5180086768848507,4,54.0
555.0,5,18.0,0.5625,9.213896192913896,3,27.0,0.5784129456875886,3,27.0
560.0,0,0.0,0.0,9.132389405486412,0,22.0,0.5831555011988846,0,22.0
565.0,4,17.0,0.5151515151515151,10.1928214418795,4,39.0,0.5463369046133155,4,39.0
570.0,2,6.0,0.17142857142857143,9.677114714083242,2,22.0,0.5275756765460621,2,22.0
575.0,2,9.0,0.2571428571428571,10.766309423361697,2,12.0,0.6533131812688991,2,12.0
580.0,5,23.0,0.6764705882352942,9.81109843395451,5,23.0,0.43811477579737257,5,23.0
585.0,8,60.0,1.935483870967742,8.923416159307566,8,60.0,0.39857413115820245,8,60.0
590.0,9,104.0,3.466666666666667,8.120984255279586,9,104.0,0.3576356777827431,9,104.0
595.0,11,157.0,5.233333333333333,7.873956035549214,11,157.0,0.3850284185409089,11,157.0
600.0,12,215.0,7.413793103448276,6.232817694873537,12,215.0,0.3186046495415337,12,215.0
605.0,16,290.0,9.35483870967742,6.051992744377669,16,290.0,0.2982499579798095,16,290.0
610.0,6,50.0,1.5625,6.0275112978597924,6,169.0,0.3953184094235161,6,169.0
615.0,5,14.0,0.4,8.098801969184974,3,48.0,0.5045998860332449,3,48.0
620.0,7,44.0,1.2222222222222223,9.291283792613577,5,57.0,0.531886449801614,5,57.0
625.0,9,64.0,1.641025641025641,8.997231292123164,8,63.0,0.46179191079021054,8,63.0
630.0,11,117.0,2.8536585365853657,9.036886127566069,10,111.0,0.4303775899773593,10,111.0
635.0,14,180.0,4.390243902439025,8.028273940218845,13,169.0,0.3486318941513118,13,169.0
640.0,14,185.0,5.0,6.619232078975257,14,203.0,0.2936196484949598,14,203.0
645.0,16,263.0,7.305555555555555,6.4326418660124665,16,263.0,0.30155263311203345,16,263.0
650.0,17,344.0,9.297297297297296,6.2437558694536905,17,344.0,0.2837500671076941,17,344.0
655.0,23,445.0,12.027027027027026,4.586663971812761,23,445.0,0.22623020405311398,23,445.0
660.0,24,562.0,14.05,4.3365632274854935,24,562.0,0.20363604843343452,24,562.0
665.0,27,692.0,16.878048780487806,3.883369306731935,27,692.0,0.18656336326663206,27,692.0
670.0,17,342.0,7.953488372093023,4.586408619000773,17,538.0,0.29583876096851075,17,538.0
675.0,7,20.0,0.45454545454545453,6.491624633213259,5,322.0,0.41891949094358566,5,322.0
680.0,8,15.0,0.3191489361702128,7.107365394288656,8,348.0,0.3693240880624661,8,348.0
685.0,15,65.0,1.3265306122448979,6.944692837394462,15,408.0,0.28623076951741144,15,408.0
690.0,19,153.0,2.9423076923076925,7.325498396262576,19,496.0,0.2936861718598182,19,496.0
695.0,12,110.0,2.037037037037037,7.50170218307237,12,367.0,0.3578509054404903,12,367.0
700.0,4,10.0,0.2127659574468085,7.678661294795594,3,251.0,0.41935525886116054,3,251.0
705.0,6,36.0,0.75,8.617112229399025,5,129.0,0.4083041999019471,5,129.0
710.0,8,57.0,1.2391304347826086,8.333722222340743,8,91.0,0.35745142393985246,8,91.0
715.0,13,113.0,2.306122448979592,8.351257223744,12,143.0,0.26453069319210915,12,143.0
720.0,13,170.0,3.617021276595745,7.583004124563681,13,187.0,0.2319272695701757,13,187.0
725.0,5,35.0,0.7446808510638298,7.940822453666373,5,120.0,0.34403263425061104,5,120.0
730.0,9,28.0,0.6829268292682927,8.37947291986757,8,61.0,0.39340109735614703,8,61.0
735.0,8,62.0,1.5897435897435896,8.665671317031496,8,80.0,0.41035777351463054,8,80.0
740.0,4,29.0,0.7435897435897436,9.015338410004079,4,44.0,0.5117807568311488,4,44.0
745.0,8,28.0,0.6829268292682927,9.510399897832874,7,67.0,0.5075854711043581,7,67.0
750.0,10,63.0,1.5365853658536586,8.564279250828422,9,110.0,0.3865941645624401,9,110.0
755.0,10,104.0,2.736842105263158,8.374874726350875,9,117.0,0.42335490724730207,9,117.0
760.0,12,163.0,4.527777777777778,8.248469886605138,11,153.0,0.44539786387280333,11,153.0
765.0,12,210.0,5.833333333333333,7.2736727375767,12,211.0,0.3774641158012883,12,211.0
770.0,16,282.0,7.833333333333333,6.6662363700648894,16,283.0,0.3549659590685449,16,283.0
775.0,18,365.0,9.35897435897436,6.400954300986579,18,366.0,0.2786450672941983,18,366.0
780.0,20,464.0,11.897435897435898,5.21817203425413,20,465.0,0.22540026389650017,20,465.0
785.0,23,575.0,14.743589743589743,4.665240064969537,23,576.0,0.2128319333645106,23,576.0
790.0,24,694.0,16.926829268292682,4.953919125468512,24,695.0,0.2373385412647845,24,695.0
795.0,15,329.0,7.833333333333333,4.620033702344806,15,531.0,0.2193542387121516,15,531.0
800.0,7,15.0,0.3409090909090909,6.603268152839861,5,393.0,0.3291609491649423,5,393.0
805.0,6,12.0,0.2608695652173913,7.238935657092702,6,412.0,0.3185098931081675,6,412.0
810.0,12,52.0,1.0833333333333333,7.442395771506874,12,462.0,0.29210118920229694,12,462.0
815.0,19,135.0,2.7551020408163267,7.186948576298877,19,545.0,0.23592090767912816,19,545.0
820.0,22,243.0,4.86,6.843840376373632,22,654.0,0.24280205992271586,22,654.0
825.0,24,355.0,7.553191489361702,5.864338113971291,24,766.0,0.1566500326415019,24,766.0
830.0,27,484.0,11.255813953488373,4.7227164073466446,27,895.0,0.1749970379691772,27,895.0
835.0,17,315.0,7.159090909090909,4.5055597385970705,17,699.0,0.21490220913562977,17,699.0
840.0,11,85.0,1.9318181818181819,5.8497218681353305,9,634.0,0.26074364363800345,9,634.0
845.0,8,40.0,0.8695652173913043,6.290037287952169,8,502.0,0.236767278635472,8,502.0
850.0,7,55.0,1.1458333333333333,7.758373907609119,7,401.0,0.3205132559944713,7,401.0
855.0,8,90.0,1.7647058823529411,9.370423733207327,8,274.0,0.4708600367822799,8,274.0
860.0,3,14.0,0.27450980392156865,9.251354951323176,3,204.0,0.5016778294900887,3,204.0
865.0,9,34.0,0.68,9.122824750119367,8,209.0,0.4708665883724594,8,209.0
870.0,5,29.0,0.6170212765957447,8.856715343709741,5,163.0,0.4642357355669711,5,163.0
875.0,9,36.0,0.8571428571428571,8.590437290320583,8,152.0,0.43732997127253503,8,152.0
880.0,8,62.0,1.441860465116279,8.938107079727146,8,137.0,0.40727820189351166,8,137.0
885.0,10,108.0,2.511627906976744,9.632081609566317,10,131.0,0.4492783225773044,10,131.0
890.0,3,43.0,1.1025641025641026,8.653344890155081,3,73.0,0.42629394692410455,3,73.0
895.0,4,8.0,0.20512820512820512,8.775484929610416,4,78.0,0.38219103452059344,4,78.0
900.0,7,32.0,0.8205128205128205,9.227172551050845,7,59.0,0.41589074485686084,7,59.0
905.0,5,24.0,0.6486486486486487,8.68653403759088,5,67.0,0.4328677044597493,5,67.0
910.0,7,31.0,0.8611111111111112,8.30321557379046,6,89.0,0.4109206147944491,6,89.0
915.0,14,80.0,2.2222222222222223,7.115359037183241,14,143.0,0.24661641888549057,14,143.0
