step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.05182185632268,0,0.0,0.8136237624033442,0,0.0
10.0,0,0.0,0.0,12.504419879377435,0,0.0,0.9361045455720399,0,0.0
15.0,0,0.0,0.0,12.756830656877048,0,0.0,0.9619552294141321,0,0.0
20.0,0,0.0,0.0,11.635682318880159,0,0.0,0.8768314198424497,0,0.0
25.0,1,1.0,0.0625,10.590687947445916,1,1.0,0.7281184580875943,1,1.0
30.0,2,8.0,0.42105263157894735,10.221890806810697,2,8.0,0.6963505834951462,2,8.0
35.0,0,0.0,0.0,9.796593803878304,0,0.0,0.7782373982114696,0,0.0
40.0,1,5.0,0.2,11.114435692887179,1,5.0,0.7688236003709888,1,5.0
45.0,1,4.0,0.16,10.785830486362265,1,4.0,0.7936212628039341,1,4.0
50.0,3,13.0,0.5,9.98342814668937,3,13.0,0.5722818846374388,3,13.0
55.0,2,4.0,0.13793103448275862,9.874093724253639,2,14.0,0.6481877628830868,2,14.0
60.0,2,9.0,0.3103448275862069,10.758252692032356,2,17.0,0.6801588571877771,2,17.0
65.0,2,8.0,0.27586206896551724,10.660010413040776,2,16.0,0.7091664448174416,2,16.0
70.0,4,24.0,0.8,10.265942193221731,4,32.0,0.6287004675241743,4,32.0
75.0,2,8.0,0.25806451612903225,9.514751275213156,2,28.0,0.5828271489481941,2,28.0
80.0,2,5.0,0.16666666666666666,10.354220580719778,2,5.0,0.651356014570471,2,5.0
85.0,0,0.0,0.0,10.263526439141861,0,2.0,0.6873515661011915,0,2.0
90.0,7,17.0,0.5483870967741935,9.628614499488824,6,13.0,0.5383217106314907,6,13.0
95.0,2,9.0,0.28125,9.309562933537663,2,18.0,0.5091096094517295,2,18.0
100.0,5,22.0,0.6666666666666666,9.946685851105682,4,34.0,0.6098133916792757,4,34.0
105.0,2,2.0,0.06451612903225806,9.619293471706781,2,19.0,0.6148595739307497,2,19.0
110.0,5,25.0,0.78125,9.389518186088667,4,39.0,0.48421418293686835,4,39.0
115.0,8,55.0,1.71875,8.796377359160013,8,72.0,0.42092732825273943,8,72.0
120.0,10,104.0,3.25,8.351035334949483,10,121.0,0.4135290525057432,10,121.0
125.0,12,159.0,5.129032258064516,6.828344323142949,12,176.0,0.3024606496161735,12,176.0
130.0,15,229.0,7.15625,6.555512060348589,15,246.0,0.34041802046071995,15,246.0
135.0,6,66.0,2.0625,6.042171937755655,6,150.0,0.36348220444316515,6,150.0
140.0,8,22.0,0.6470588235294118,6.580409523067232,6,136.0,0.28797163788359514,6,136.0
145.0,6,10.0,0.2777777777777778,7.706128067107853,6,150.0,0.4238496979160924,6,150.0
150.0,7,28.0,0.7368421052631579,8.937473099457149,7,174.0,0.4457673100167529,7,174.0
155.0,11,77.0,1.8780487804878048,8.952044746345354,11,223.0,0.40593150506380143,11,223.0
160.0,5,52.0,1.2380952380952381,9.500776296628787,5,158.0,0.5776491117760822,5,158.0
165.0,2,4.0,0.10256410256410256,9.367606922615495,1,98.0,0.5304134960603084,1,98.0
170.0,4,17.0,0.4594594594594595,9.835498518739895,4,43.0,0.5258126022194684,4,43.0
175.0,0,0.0,0.0,9.713273030445825,0,31.0,0.5762533166686873,0,31.0
180.0,8,26.0,0.7222222222222222,9.392509778666128,6,46.0,0.48675533028113477,6,46.0
185.0,7,43.0,1.2285714285714286,9.422436221509267,7,69.0,0.4944668195698469,7,69.0
190.0,8,81.0,2.1315789473684212,9.879864991571889,8,107.0,0.4815044295261054,8,107.0
195.0,10,125.0,3.676470588235294,8.445170102873414,10,151.0,0.3872036702343226,10,151.0
200.0,13,185.0,5.4411764705882355,7.854476885808295,13,211.0,0.3675062612873907,13,211.0
205.0,15,256.0,7.757575757575758,6.702250796312346,15,282.0,0.31502508353682507,15,282.0
210.0,18,337.0,10.53125,5.484345147864282,18,363.0,0.2666904821108928,18,363.0
215.0,19,431.0,13.06060606060606,5.2824664207553225,19,457.0,0.3094296327659499,19,457.0
220.0,8,106.0,2.864864864864865,6.20248860406701,8,310.0,0.422933453513814,8,310.0
225.0,6,11.0,0.2972972972972973,7.32419571458892,4,144.0,0.4775860003571037,4,144.0
