step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.76326618529221,0,0.0,0.7830670803411482,0,0.0
10.0,1,3.0,0.375,10.225077386048707,1,3.0,0.7315448953578583,1,3.0
15.0,1,3.0,0.2727272727272727,8.640347034747103,1,3.0,0.6877710432130835,1,3.0
20.0,3,15.0,1.0714285714285714,9.500240941281563,3,15.0,0.6420050600645035,3,15.0
25.0,0,0.0,0.0,9.491287362940913,0,6.0,0.6858960571258252,0,6.0
30.0,3,10.0,0.47619047619047616,10.230801081074762,3,10.0,0.7122137985588161,3,10.0
35.0,0,0.0,0.0,9.72813350166093,0,6.0,0.7112481969329191,0,6.0
40.0,1,3.0,0.1111111111111111,11.100132115564346,1,3.0,0.7952033124649154,1,3.0
45.0,0,0.0,0.0,11.953519616309507,0,0.0,0.9432195282459176,0,0.0
50.0,2,5.0,0.17857142857142858,10.626591082461994,1,1.0,0.7238136575747472,1,1.0
55.0,6,25.0,0.8333333333333334,10.053387265434266,5,16.0,0.6175547267116852,5,16.0
60.0,0,0.0,0.0,10.506029642979767,0,5.0,0.813483044746621,0,5.0
65.0,1,2.0,0.06451612903225806,10.788547097789333,1,4.0,0.7618202227919275,1,4.0
70.0,5,9.0,0.2727272727272727,9.104599239785017,5,11.0,0.4964227034180179,5,11.0
75.0,6,39.0,1.2580645161290323,10.089840689173123,6,41.0,0.5681833816395263,6,41.0
80.0,2,12.0,0.36363636363636365,9.542821569609387,2,23.0,0.5409264133220522,2,23.0
85.0,1,2.0,0.0625,10.554126659652852,1,15.0,0.7107873397378129,1,15.0
90.0,2,3.0,0.09375,10.777003759064186,2,18.0,0.6826656226761508,2,18.0
95.0,7,24.0,0.7058823529411765,9.853913805082298,6,38.0,0.5702164290552457,6,38.0
100.0,2,10.0,0.29411764705882354,9.129417916549643,2,28.0,0.5397617070437435,2,28.0
105.0,7,30.0,0.9375,8.322328722854557,6,48.0,0.45568571367392696,6,48.0
110.0,3,5.0,0.16666666666666666,7.604436403923324,3,44.0,0.36037140538522333,3,44.0
115.0,13,52.0,1.5757575757575757,7.723550907903629,12,80.0,0.3639579845379455,12,80.0
120.0,4,25.0,0.6944444444444444,8.881150479441908,4,64.0,0.5247421750822651,4,64.0
125.0,8,20.0,0.5555555555555556,7.82153035343001,6,71.0,0.34691582337242605,6,71.0
130.0,9,44.0,1.2222222222222223,8.496184104535956,9,89.0,0.4204402158893073,9,89.0
135.0,5,17.0,0.4722222222222222,9.170911618001425,5,85.0,0.5584449403060652,5,85.0
140.0,6,37.0,0.9736842105263158,9.84252850474416,6,90.0,0.5544720938683358,6,90.0
145.0,2,11.0,0.3055555555555556,10.055571257524647,2,58.0,0.6570220049578842,2,58.0
150.0,3,6.0,0.16666666666666666,9.946414343863147,2,63.0,0.5547362177749545,2,63.0
155.0,3,10.0,0.2702702702702703,9.747126323523666,3,28.0,0.5270888980103288,3,28.0
160.0,5,30.0,0.7894736842105263,9.786305460976527,5,30.0,0.5141862991168172,5,30.0
165.0,4,12.0,0.3333333333333333,9.289408499169323,4,29.0,0.5713450042049782,4,29.0
170.0,2,13.0,0.37142857142857144,9.667709343800611,2,24.0,0.5743280654188894,2,24.0
175.0,3,9.0,0.25,10.956113746867594,3,30.0,0.6615926002535273,3,30.0
180.0,3,24.0,0.7058823529411765,11.57739943092037,3,35.0,0.7041246798566759,3,35.0
185.0,2,4.0,0.1111111111111111,11.026350178591386,2,15.0,0.6903994155753034,2,15.0
190.0,3,15.0,0.45454545454545453,10.878270269407842,3,15.0,0.6818273733908559,3,15.0
195.0,6,38.0,1.2258064516129032,9.694166282197243,6,38.0,0.5310262372088685,6,38.0
200.0,9,79.0,2.5483870967741935,8.008042706074077,9,79.0,0.4104271112680903,9,79.0
205.0,12,135.0,4.354838709677419,7.517797840694102,12,135.0,0.3828887764648195,12,135.0
210.0,13,197.0,5.96969696969697,7.155998973627782,13,197.0,0.3589740669070852,13,197.0
215.0,15,267.0,7.852941176470588,6.702371580728557,15,267.0,0.34304277160252883,15,267.0
220.0,7,85.0,2.361111111111111,6.169528441488484,7,179.0,0.34906342205748725,7,179.0
225.0,6,25.0,0.6578947368421053,8.424206191099259,4,93.0,0.5003081463464504,4,93.0
230.0,2,3.0,0.07894736842105263,8.229970942074711,2,78.0,0.4264190505514423,2,78.0
235.0,10,39.0,0.9285714285714286,9.425422492610195,10,114.0,0.45033935730091723,10,114.0
240.0,2,14.0,0.32558139534883723,10.171469755638258,2,71.0,0.5747786945886327,2,71.0
245.0,4,9.0,0.21428571428571427,10.62868029206361,3,41.0,0.5963359905262304,3,41.0
250.0,6,25.0,0.6578947368421053,10.438146612947476,6,36.0,0.527896781312338,6,36.0
255.0,1,2.0,0.05405405405405406,10.010933183356629,1,18.0,0.6339062354669255,1,18.0
260.0,6,23.0,0.6388888888888888,9.961380116407518,5,30.0,0.5333769083356446,5,30.0
265.0,3,6.0,0.16216216216216217,9.37411137321012,3,21.0,0.49527984386985097,3,21.0
270.0,5,23.0,0.6764705882352942,8.95934796543558,5,33.0,0.4304106912000634,5,33.0
275.0,6,51.0,1.457142857142857,10.128560653624712,6,57.0,0.5781309160644535,6,57.0
280.0,4,20.0,0.5714285714285714,9.555128093473288,4,45.0,0.5383756037503601,4,45.0
285.0,1,7.0,0.2,9.665086956289736,1,43.0,0.5734892931672184,1,43.0
290.0,5,12.0,0.36363636363636365,9.180208640644555,5,48.0,0.46229958338125887,5,48.0
295.0,8,47.0,1.3055555555555556,9.536502965294256,8,83.0,0.4789816824162065,8,83.0
300.0,4,26.0,0.7428571428571429,9.206797265294709,4,64.0,0.5637409453095131,4,64.0
305.0,4,14.0,0.3783783783783784,9.160263616732891,3,61.0,0.4412018459487515,3,61.0
310.0,1,1.0,0.029411764705882353,8.392484710408596,1,62.0,0.4271753760871418,1,62.0
315.0,6,20.0,0.5714285714285714,8.997692695513143,5,77.0,0.38081683540557787,5,77.0
320.0,4,22.0,0.6111111111111112,9.763426607238516,4,59.0,0.42860462985753794,4,59.0
325.0,3,19.0,0.5588235294117647,10.220104836921042,3,80.0,0.5175983035597645,3,80.0
330.0,2,7.0,0.19444444444444445,9.801216842686745,2,66.0,0.529322019215813,2,66.0
335.0,7,33.0,1.03125,9.974920568354909,7,92.0,0.5351834251994485,7,92.0
340.0,3,25.0,0.78125,9.871300410638991,3,71.0,0.6658688757928675,3,71.0
345.0,5,9.0,0.2727272727272727,9.627073123636404,4,80.0,0.5301524582141447,4,80.0
350.0,3,8.0,0.23529411764705882,9.498354270744688,3,90.0,0.48570038146168115,3,90.0
355.0,6,27.0,0.84375,10.63944690835913,6,112.0,0.5471395459529539,6,112.0
360.0,2,17.0,0.5151515151515151,10.56445874435566,2,83.0,0.6089795024845525,2,83.0
365.0,3,6.0,0.1875,9.735777581005735,1,55.0,0.5806152962103476,1,55.0
370.0,2,3.0,0.09090909090909091,9.661311844971372,2,67.0,0.5444029037020386,2,67.0
375.0,8,35.0,1.0606060606060606,8.895219653707413,8,99.0,0.4512738083254724,8,99.0
380.0,4,17.0,0.5151515151515151,8.068506235317578,4,66.0,0.4031944096392475,4,66.0
385.0,6,27.0,0.7941176470588235,9.859778218710678,5,44.0,0.59268348146928,5,44.0
390.0,1,5.0,0.15151515151515152,10.140753245623632,1,31.0,0.6857506392280861,1,31.0
395.0,2,4.0,0.12121212121212122,9.950042550931794,2,36.0,0.6484612722797601,2,36.0
400.0,4,22.0,0.6111111111111112,9.73257204356876,4,53.0,0.5197667557177033,4,53.0
405.0,1,10.0,0.2777777777777778,9.724916713914016,1,38.0,0.5690834418365994,1,38.0
410.0,3,9.0,0.25,9.973862129612911,2,42.0,0.5837312247869131,2,42.0
