step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.736346114614088,0,0.0,0.973246513523145,0,0.0
10.0,0,0.0,0.0,13.97350756425836,0,0.0,0.9709272118624136,0,0.0
15.0,0,0.0,0.0,11.661427942074791,0,0.0,0.8699338053941359,0,0.0
20.0,1,2.0,0.15384615384615385,11.925782015142982,1,2.0,0.8390703772770098,1,2.0
25.0,1,7.0,0.4117647058823529,10.469484412028004,1,7.0,0.7039165909110101,1,7.0
30.0,4,22.0,1.1,9.30755668835955,4,22.0,0.540742542603197,4,22.0
35.0,2,7.0,0.3181818181818182,10.193885248672212,2,15.0,0.7025861999409936,2,15.0
40.0,1,6.0,0.24,10.636728867694531,1,6.0,0.7225017067489821,1,6.0
45.0,5,21.0,0.7777777777777778,9.202578910653886,5,21.0,0.45742696097087937,5,21.0
50.0,1,4.0,0.13793103448275862,9.831941945218086,1,21.0,0.5526601042643003,1,21.0
55.0,0,0.0,0.0,11.163099403525901,0,4.0,0.7142445169456857,0,4.0
60.0,2,7.0,0.23333333333333334,11.81866370752235,2,7.0,0.7240233722793371,2,7.0
65.0,0,0.0,0.0,11.368283060421426,0,0.0,0.7994003576450267,0,0.0
70.0,1,3.0,0.1,11.0283261708992,1,3.0,0.6250565610403312,1,3.0
75.0,0,0.0,0.0,10.449606926105117,0,3.0,0.6889316917739676,0,3.0
80.0,2,5.0,0.1724137931034483,11.139134926116222,2,5.0,0.6750946155276049,2,5.0
85.0,0,0.0,0.0,11.27453422052134,0,0.0,0.7992669434923692,0,0.0
90.0,1,4.0,0.14814814814814814,11.302266373715334,1,5.0,0.7714803204004715,1,5.0
95.0,2,5.0,0.1724137931034483,10.8961672124866,2,6.0,0.7547038747793566,2,6.0
100.0,3,19.0,0.6785714285714286,9.832584137703488,3,20.0,0.5433745787693044,3,20.0
105.0,2,2.0,0.07142857142857142,9.538665654839976,2,8.0,0.5769683525041468,2,8.0
110.0,3,15.0,0.5357142857142857,9.928324720147405,2,11.0,0.6528633007302133,2,11.0
115.0,1,2.0,0.06451612903225806,9.906147953220488,1,2.0,0.724671659065104,1,2.0
120.0,4,16.0,0.5517241379310345,9.908578461457761,3,13.0,0.5675583905944076,3,13.0
125.0,0,0.0,0.0,8.840423931822546,0,3.0,0.319530939793828,0,3.0
130.0,5,14.0,0.4117647058823529,9.086511193439057,5,17.0,0.3340394078620789,5,17.0
135.0,1,3.0,0.0967741935483871,9.89961394576934,1,10.0,0.5119507427360709,1,10.0
140.0,3,11.0,0.39285714285714285,10.347927803983989,2,19.0,0.6113167981453681,2,19.0
145.0,2,7.0,0.22580645161290322,10.0709452058177,2,16.0,0.6242775758936756,2,16.0
150.0,4,23.0,0.7666666666666667,10.259459403936145,4,32.0,0.55415416198499,4,32.0
155.0,3,21.0,0.75,9.68053928413337,3,35.0,0.5321886096231675,3,35.0
160.0,4,18.0,0.5806451612903226,10.393278993405684,4,26.0,0.5799939101367652,4,26.0
165.0,2,3.0,0.1,8.790935619214837,2,14.0,0.4552331254867312,2,14.0
170.0,7,29.0,1.0,9.238742113441555,6,36.0,0.5120675866077398,6,36.0
