step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.655902258548908,0,0.0,0.8437032603231566,0,0.0
10.0,0,0.0,0.0,12.355941086144282,0,0.0,0.9700511201257753,0,0.0
15.0,0,0.0,0.0,12.49696811382123,0,0.0,0.9179001258214936,0,0.0
20.0,1,1.0,0.07692307692307693,11.982843974651141,1,1.0,0.8710481138515184,1,1.0
25.0,2,3.0,0.1875,8.497846600764362,2,3.0,0.6575927222566023,2,3.0
30.0,4,17.0,0.85,8.29137175135617,4,17.0,0.47817521399420193,4,17.0
35.0,8,51.0,2.3181818181818183,7.711044016877557,8,51.0,0.416440121496693,8,51.0
40.0,10,97.0,3.730769230769231,6.707322895951109,10,97.0,0.34003519027228735,10,97.0
45.0,12,154.0,5.5,7.028366311484632,12,154.0,0.37188453474011374,12,154.0
50.0,14,218.0,7.785714285714286,6.09060216948987,14,218.0,0.34074467995332486,14,218.0
55.0,15,290.0,9.666666666666666,5.811129471318451,15,290.0,0.35675284682905467,15,290.0
60.0,18,372.0,11.272727272727273,5.593076692809695,17,367.0,0.25368614523821476,17,367.0
65.0,19,458.0,13.085714285714285,5.68751039665194,19,458.0,0.23853559750333825,19,458.0
70.0,21,556.0,14.631578947368421,5.815398418895803,21,556.0,0.26839159664046575,21,556.0
75.0,11,240.0,6.153846153846154,5.949824277111423,11,395.0,0.3401835090516108,11,395.0
80.0,4,29.0,0.7435897435897436,6.07269075200969,3,317.0,0.32028966845035217,3,317.0
85.0,8,21.0,0.5121951219512195,6.214006912149922,8,337.0,0.25540136583014467,8,337.0
90.0,13,77.0,1.7906976744186047,7.205197383812737,13,393.0,0.30148818868000193,13,393.0
95.0,10,67.0,1.4565217391304348,8.052620847529383,10,320.0,0.39870874462737466,10,320.0
100.0,2,12.0,0.2608695652173913,8.594905323974194,2,294.0,0.41462301772553584,2,294.0
105.0,3,9.0,0.20930232558139536,8.186520690075811,3,304.0,0.38072211342747,3,304.0
110.0,11,50.0,1.1904761904761905,7.684377017060929,11,345.0,0.29907542258352754,11,345.0
115.0,19,129.0,3.0,6.206347296975639,19,424.0,0.22280112732580643,19,424.0
120.0,13,123.0,2.86046511627907,6.117105588536833,13,384.0,0.2811533906315679,13,384.0
125.0,10,40.0,0.9302325581395349,7.011414113337886,8,412.0,0.31254696164453416,8,412.0
130.0,3,10.0,0.23809523809523808,7.5552092226451055,3,337.0,0.3826236583547219,3,337.0
135.0,6,27.0,0.6428571428571429,7.801826986599022,5,239.0,0.3713119061738502,5,239.0
140.0,3,3.0,0.06818181818181818,8.506593703113966,3,200.0,0.44385105787011453,3,200.0
145.0,7,27.0,0.6,8.52461492169231,7,213.0,0.4499371606773312,7,213.0
150.0,13,83.0,1.930232558139535,7.814867262635801,13,269.0,0.3538113697927809,13,269.0
155.0,9,83.0,1.8863636363636365,7.6789365844864195,9,229.0,0.34932287064260614,9,229.0
160.0,2,5.0,0.11363636363636363,8.040204498219909,2,182.0,0.3682154327970854,2,182.0
165.0,7,27.0,0.6136363636363636,7.918676414238396,6,137.0,0.3364361857158265,6,137.0
170.0,4,11.0,0.2682926829268293,7.636059784635563,4,144.0,0.3365932275567836,4,144.0
175.0,10,34.0,0.8095238095238095,8.296128165475222,9,159.0,0.3690948530629073,9,159.0
180.0,14,89.0,2.119047619047619,8.262270850921274,14,217.0,0.33682854715555693,14,217.0
185.0,14,159.0,3.975,7.772998283713003,14,283.0,0.2885216393542509,14,283.0
190.0,17,235.0,5.7317073170731705,7.450283530230323,17,359.0,0.2631978176227488,17,359.0
195.0,19,325.0,8.783783783783784,5.866784736422099,19,449.0,0.2644935457104969,19,449.0
200.0,22,426.0,10.923076923076923,5.019627704900197,22,550.0,0.1946409142158349,22,550.0
205.0,13,236.0,6.051282051282051,5.041929494045452,13,433.0,0.26003705118221726,13,433.0
210.0,6,22.0,0.55,6.9813364771879005,4,387.0,0.35790547008810364,4,387.0
215.0,11,50.0,1.2195121951219512,7.651457773548197,11,375.0,0.34477404136296985,11,375.0
220.0,6,52.0,1.1818181818181819,9.140733999566367,6,213.0,0.45546152969670906,6,213.0
