step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.05736468365238,0,0.0,0.9509556635466135,0,0.0
10.0,0,0.0,0.0,12.967864825475761,0,0.0,0.9772634264469023,0,0.0
15.0,0,0.0,0.0,13.002150695400523,0,0.0,0.9374963892051418,0,0.0
20.0,2,4.0,0.2857142857142857,11.185875050876035,2,4.0,0.7895083639554693,2,4.0
25.0,3,15.0,0.8333333333333334,9.094288319820855,3,15.0,0.6638151121626444,3,15.0
30.0,5,35.0,1.6666666666666667,8.982455025947477,5,35.0,0.5672425991448237,5,35.0
35.0,7,66.0,2.75,8.341942171982758,7,66.0,0.4834255631633881,7,66.0
40.0,10,111.0,4.111111111111111,8.121901838220678,10,111.0,0.4861018066839533,10,111.0
45.0,12,165.0,5.5,6.92652522102754,12,165.0,0.33732843073814445,12,165.0
50.0,14,232.0,7.483870967741935,6.334387370724711,14,232.0,0.29694702461387584,14,232.0
55.0,17,313.0,9.78125,5.8023877496287355,17,313.0,0.29427366973835817,17,313.0
60.0,10,118.0,3.3714285714285714,5.805957243123433,10,218.0,0.31544217353368786,10,218.0
65.0,3,11.0,0.2894736842105263,7.843023012157781,3,162.0,0.4388713480031364,3,162.0
70.0,7,20.0,0.5128205128205128,7.873624064075287,7,172.0,0.39212846001445617,7,172.0
75.0,14,78.0,1.95,8.061246222550528,14,230.0,0.3589844077180967,14,230.0
80.0,18,159.0,3.697674418604651,6.753806250742815,17,309.0,0.24437296744976889,17,309.0
85.0,19,251.0,5.837209302325581,6.1677757130257005,19,403.0,0.214387304703591,19,403.0
90.0,23,359.0,8.75609756097561,5.489754544839852,23,511.0,0.17524892068887193,23,511.0
95.0,15,247.0,6.175,5.286703854821944,15,451.0,0.2685731489705549,15,451.0
100.0,7,52.0,1.1818181818181819,7.190316568641713,6,387.0,0.3558557937754162,6,387.0
105.0,9,36.0,0.8,7.610847728339219,8,378.0,0.3461086962798441,8,378.0
110.0,7,37.0,0.8222222222222222,7.303733336108405,7,413.0,0.3016991125686972,7,413.0
115.0,10,34.0,0.7391304347826086,8.190991138722099,10,445.0,0.327425320238538,10,445.0
120.0,7,26.0,0.5652173913043478,7.293791506679801,7,387.0,0.31019337673659925,7,387.0
125.0,7,22.0,0.5,7.363781628444113,6,298.0,0.35508074852897215,6,298.0
130.0,8,43.0,0.9347826086956522,7.526158957451485,7,302.0,0.3682643080042374,7,302.0
135.0,11,77.0,1.75,7.09170327751597,10,268.0,0.33262878932884365,10,268.0
140.0,12,120.0,2.727272727272727,6.681056145803711,11,245.0,0.2524069701743338,11,245.0
145.0,12,152.0,3.3043478260869565,7.167484683654329,12,221.0,0.2897268617703156,12,221.0
150.0,12,200.0,4.545454545454546,7.666852387688549,12,217.0,0.29474020548921337,12,217.0
155.0,8,78.0,1.7333333333333334,7.804409955397926,8,145.0,0.3329047416167106,8,145.0
160.0,4,18.0,0.375,9.084785139710286,4,107.0,0.4508585543059773,4,107.0
165.0,9,49.0,1.065217391304348,8.736221204199879,7,132.0,0.331184151176693,7,132.0
170.0,5,26.0,0.5777777777777777,9.285770615954176,5,137.0,0.43628725892899944,5,137.0
175.0,6,22.0,0.5,9.479325023598715,5,157.0,0.45695117589519146,5,157.0
180.0,8,34.0,0.85,8.42959915208234,8,157.0,0.35577403530153157,8,157.0
185.0,8,39.0,0.975,8.2621427488175,7,190.0,0.36300157815940126,7,190.0
190.0,11,77.0,1.925,7.558744893020865,11,208.0,0.3017919794117514,11,208.0
195.0,13,135.0,3.4615384615384617,7.565815055589014,13,216.0,0.31707193850391313,13,216.0
200.0,14,203.0,5.486486486486487,6.973096242538378,14,264.0,0.31180289465791594,14,264.0
205.0,17,281.0,7.205128205128205,6.219899613999236,16,340.0,0.27179718053486024,16,340.0
210.0,16,356.0,8.9,6.534985987984865,16,421.0,0.3150970909616082,16,421.0
215.0,20,447.0,10.902439024390244,6.300446928169443,19,509.0,0.26275562891657833,19,509.0
220.0,22,553.0,13.166666666666666,5.330837014225803,21,610.0,0.2073088100031693,21,610.0
225.0,12,217.0,4.931818181818182,5.394870214899449,12,433.0,0.20325598472944495,12,433.0
230.0,10,36.0,0.8372093023255814,7.289203340091597,8,341.0,0.3084437925061789,8,341.0
235.0,7,19.0,0.40425531914893614,8.33439656654492,7,349.0,0.38810588737147983,7,349.0
240.0,10,45.0,0.9782608695652174,8.660497993590116,10,390.0,0.39491862380503423,10,390.0
245.0,9,49.0,1.0208333333333333,8.087519992835102,9,286.0,0.3417040677548328,9,286.0
250.0,9,39.0,0.8125,7.866911541698386,8,319.0,0.26093880042734036,8,319.0
255.0,7,70.0,1.5909090909090908,8.48622195629398,7,195.0,0.357801692295202,7,195.0
260.0,8,108.0,2.5714285714285716,8.93329226067092,8,156.0,0.3878779067839795,8,156.0
265.0,4,14.0,0.32558139534883723,8.78159581308418,4,91.0,0.41701006818526953,4,91.0
270.0,9,37.0,0.925,8.487530876075478,8,80.0,0.34566490794981736,8,80.0
275.0,7,36.0,0.8780487804878049,8.472556607088478,7,74.0,0.35005221023342137,7,74.0
280.0,5,21.0,0.5121951219512195,9.680882845596411,5,65.0,0.5360061411151308,5,65.0
285.0,7,49.0,1.2564102564102564,9.059448964059571,7,71.0,0.4548275225650729,7,71.0
290.0,3,15.0,0.40540540540540543,8.606662192233198,3,35.0,0.42601586685770887,3,35.0
295.0,4,18.0,0.4864864864864865,9.444830574033363,3,47.0,0.5537210931106178,3,47.0
300.0,2,21.0,0.5833333333333334,9.253696761419288,2,40.0,0.4707515913143617,2,40.0
305.0,7,42.0,1.0769230769230769,9.769282456125394,7,42.0,0.4066454695311544,7,42.0
310.0,2,9.0,0.24324324324324326,9.957657319763795,2,28.0,0.6023483938355283,2,28.0
